BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome
PRJEB7359,SAMEA3174129,Ficedula_semitorquata,female,Bulgaria,Europe,FST_11,FST,11,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174130,Ficedula_semitorquata,female,Bulgaria,Europe,FST_16,FST,16,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174131,Ficedula_semitorquata,female,Bulgaria,Europe,FST_19,FST,19,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174132,Ficedula_semitorquata,male,Bulgaria,Europe,FST_1,FST,1,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174133,Ficedula_semitorquata,female,Bulgaria,Europe,FST_20,FST,20,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174134,Ficedula_semitorquata,male,Bulgaria,Europe,FST_21,FST,21,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174135,Ficedula_semitorquata,male,Bulgaria,Europe,FST_22,FST,22,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174136,Ficedula_semitorquata,female,Bulgaria,Europe,FST_24,FST,24,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174137,Ficedula_semitorquata,male,Bulgaria,Europe,FST_27,FST,27,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174138,Ficedula_semitorquata,female,Bulgaria,Europe,FST_2,FST,2,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174139,Ficedula_semitorquata,male,Bulgaria,Europe,FST_32,FST,32,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174140,Ficedula_semitorquata,female,Bulgaria,Europe,FST_34,FST,34,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174141,Ficedula_semitorquata,male,Bulgaria,Europe,FST_35,FST,35,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174142,Ficedula_semitorquata,male,Bulgaria,Europe,FST_36,FST,36,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174143,Ficedula_semitorquata,male,Bulgaria,Europe,FST_37,FST,37,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174144,Ficedula_semitorquata,female,Bulgaria,Europe,FST_39,FST,39,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174145,Ficedula_semitorquata,female,Bulgaria,Europe,FST_41,FST,41,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174146,Ficedula_semitorquata,female,Bulgaria,Europe,FST_4,FST,4,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174147,Ficedula_semitorquata,male,Bulgaria,Europe,FST_5,FST,5,Unknown,NA,NA,GCF_000247815.1
PRJEB7359,SAMEA3174148,Ficedula_semitorquata,male,Bulgaria,Europe,FST_7,FST,7,Unknown,NA,NA,GCF_000247815.1
