BioProject,BioSample,Organism,sex,refGenome
PRJEB21643,SAMEA104152058,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152947,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152948,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152949,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152950,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152951,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152952,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152953,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152954,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152955,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152957,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152958,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152959,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104152960,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157447,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157448,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157449,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157450,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157451,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157452,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157453,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157454,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157455,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
PRJEB21643,SAMEA104157456,Phylloscopus_collybita_abietinus,missing,GCA_016584745.1
